"RelativePath","Extension","Lines","Category","Over300"
"src\tools\scripts\verify\verify.logging.js","js","28","tools","False"
"src\styles\css\lock-components\Line-1-transformer.levels.css","css","27","css","False"
"src\scripts\worm-spawn-manager.js","js","26","js-runtime","False"
"level-select.html","html","24","misc","False"
"src\scripts\ui-boundary-manager.js","js","24","js-runtime","False"
"game.html","html","23","misc","False"
"src\tools\scripts\line-limit\baseline.js","js","23","tools","False"
"index.html","html","22","misc","False"
"src\tools\scripts\verify\checks\eslint.js","js","21","tools","False"
"src\scripts\constants.events.js","js","20","js-runtime","False"
"src\styles\css\game-animations.near-miss.css","css","20","css","False"
"lock\lock.js","js","18","misc","False"
"src\scripts\game-symbol-handler.js","js","18","js-runtime","False"
"src\styles\css\lock-components\Line-1-transformer.keyframes.css","css","18","css","False"
"src\styles\css\lod-animations.gpu.css","css","18","css","False"
"jsconfig.json","json","17","misc","False"
"src\scripts\console-manager.js","js","15","js-runtime","False"
"src\scripts\performance-monitor.bootstrap.js","js","15","js-runtime","False"
"src\styles\css\game-responsive.css","css","15","css","False"
"src\tools\middle-screen\solver.js","js","15","tools","False"
"src\scripts\level-select-page.js","js","14","js-runtime","False"
"src\styles\css\level-select.core.css","css","14","css","False"
"src\styles\css\lock-components\Line-1-transformer.controls.css","css","13","css","False"
"src\scripts\interaction-audio.cyberpunk.bootstrap.js","js","12","js-runtime","False"
"src\scripts\utils-sanitizer.js","js","12","js-runtime","False"
"src\tools\scripts\line-limit-check.js","js","12","tools","False"
".eslintrc.json","json","11","misc","False"
"src\styles\css\index.css","css","11","css","False"
"src\tools\scripts\line-limit\path-utils.js","js","10","tools","False"
"src\scripts\perf-smoke-mode.js","js","9","js-runtime","False"
"src\scripts\symbol-rain.helpers.js","js","9","js-runtime","False"
"src\styles\css\lock-components\Line-1-transformer.css","css","9","css","False"
"src\tools\scripts\verify\verify.checks.js","js","9","tools","False"
"src\scripts\index-page.js","js","8","js-runtime","False"
"src\scripts\quality-tier-manager.bootstrap.js","js","8","js-runtime","False"
"src\styles\css\lock-components\line-3-transformer.css","css","7","css","False"
"src\styles\css\lock-components\line-6-transformer.css","css","7","css","False"
"src\styles\css\lock-components\line-6-transformer.effects.css","css","7","css","False"
"src\styles\css\lod-animations.css","css","7","css","False"
"tests\utils\index.js","js","7","tests","False"
"src\scripts\utils.js","js","6","js-runtime","False"
"src\styles\css\game-animations.css","css","6","css","False"
"src\styles\css\level-select.details.css","css","6","css","False"
"src\styles\css\lock-components\line-2-transformer.css","css","6","css","False"
"src\styles\css\console.css","css","5","css","False"
"src\styles\css\lock-components\line-3-transformer.effects.css","css","5","css","False"
"src\styles\css\worm-base.css","css","5","css","False"
"src\styles\css\worm-effects.css","css","5","css","False"
"src\styles\css\game-polish.chrome.css","css","4","css","False"
"src\styles\css\level-select.css","css","4","css","False"
"src\styles\css\lock-components\line-4-transformer.css","css","4","css","False"
"src\styles\css\lock-components\Line-5-transformer.css","css","4","css","False"
"src\styles\css\modern-ux-enhancements.css","css","4","css","False"
